run_id,spacing,arm_mode,hinge_cw,tip_cw,main_clutch,hinge_clutch,v_wind,t_stop,E_init_j,elec_total,main_gen_j,hinge1_j,hinge2_j,fric_j,aero_j,main_clutch_j,hinge_clutch_plus_genheat_j,peak_shaft_rpm,peak_fly_rpm,final_residual_j,runtime_s
001,25cm,upper_double,10,1,oneway,oneway,6.0,119.95,1669.3553717907046,615.5984701419414,3.494919200700916,192.20625306548897,419.8972978757516,599.3529101318464,152.3029452648184,0.7695268274145907,16.282510923927767,55.647947466038104,51.23920093504762,-270.8724199743531,9.31511402130127
002,25cm,upper_double,10,1,rectifier,oneway,6.0,119.95,1671.0518497901626,623.2635018791368,2.6815002716875758,188.47220685479587,432.10979475265333,600.8034899436545,151.63364745528804,0.7314740028819793,13.998150802296042,54.306421563862784,49.93445825260167,-266.5797269947002,9.427437782287598
003,25cm,upper_double,10,2,oneway,oneway,6.0,119.95,1901.6795920292104,684.5042513426026,3.783545764629189,237.24770307103782,443.47300250693564,696.8776061741883,168.33711609055322,0.7904140263473499,17.919538379603495,55.101535814734106,50.696285665456735,-318.8552480106496,10.700792074203491
004,25cm,upper_double,10,2,rectifier,oneway,6.0,119.95,1905.758038775725,687.2554244109027,3.4087158360043848,240.10452289691463,443.74218567798374,699.0968869029416,170.07973963864276,0.7759844605115894,16.944656165637557,54.43553176903921,50.063115192285885,-317.2651340718264,11.998892068862915
005,25cm,upper_double,10,3,oneway,oneway,6.0,119.95,2153.0423115555104,758.7207745843746,4.402136933515634,291.3867249534231,462.9319126974358,794.4277840583159,190.7895156845884,0.8244338417883202,20.53038024939289,54.90179498615842,50.51532044581581,-372.94255834089154,11.640954971313477
006,25cm,upper_double,10,3,rectifier,oneway,6.0,119.95,2125.0251061086183,750.2505419818731,3.182390617961919,288.98893711811724,458.079214245794,787.588533282221,187.95057958616036,0.7655986254938069,16.85248590734037,53.59347334101276,49.23194697776133,-367.0158862703538,12.869426250457764
007,25cm,lower_double,10,1,oneway,oneway,6.0,119.95,986.3526121233018,368.8849818106311,0.0,181.0210492305004,187.8639325801307,336.58235687143065,164.83694089221575,0.44812035765162683,0.47223878747008646,41.14223831219659,36.9225705306876,-103.69103973542678,8.293467044830322
008,25cm,lower_double,10,1,rectifier,oneway,6.0,119.95,987.8986526282118,364.6415068588658,0.0,166.10709296679195,198.53441389207381,332.47019074843877,177.4854280016012,0.4471618226994386,0.48050723721200045,40.76043367548431,36.585273950505375,-101.11455513239525,8.654700994491577
009,25cm,lower_double,10,2,oneway,oneway,6.0,119.95,1227.2960029380354,464.1678871870779,0.12462939885549484,232.5132300289082,231.53002775931424,429.51541359860863,186.30626438057067,0.5253329394995527,2.791498892251104,46.17561769570948,41.94158751196511,-131.00454894555173,10.279108762741089
010,25cm,lower_double,10,2,rectifier,oneway,6.0,119.95,1218.2715253487545,462.4362554926642,0.1370622561871276,236.8213112367386,225.47788199973846,427.4207309699165,181.18013778611484,0.5349106136879899,2.881684976642392,46.4202072470424,42.179735346649274,-130.80448511254917,9.575360536575317
011,25cm,lower_double,10,3,oneway,oneway,6.0,119.95,1423.618813399467,530.8687429242958,0.9409999709357537,245.38440848250195,284.5433344708581,510.78927170970366,211.62186227277124,0.6742321591046172,7.6472844333966385,53.06806413232385,46.98133219679675,-148.6021124822255,10.85689640045166
012,25cm,lower_double,10,3,rectifier,oneway,6.0,119.95,1442.0738834263266,541.0373254516679,0.9367744258571095,258.00603365298593,282.0945173728249,515.2400365097229,211.04098621963647,0.6799777303553265,7.631675993585525,52.777844997234155,47.004552243504506,-153.02723958159572,11.590967893600464
013,50cm,upper_double,10,1,oneway,oneway,6.0,119.95,1729.019300901661,638.8368768564444,3.4490280962667703,200.1329648549674,435.2548839052102,616.0986606982799,160.7910662628681,0.7693694272000652,16.194423909699008,55.52953238663733,51.11037845216369,-282.1558092115624,11.008607387542725
014,50cm,upper_double,10,1,rectifier,oneway,6.0,119.95,1724.3240088305276,646.4584776917839,1.9236783476973962,193.83288796308236,450.70191138100404,615.1659232947247,158.57794412870336,0.6940233503406105,11.61394647519959,53.04616700261628,48.681837415000146,-277.9139125659992,12.402176856994629
015,50cm,upper_double,10,2,oneway,oneway,6.0,119.95,1923.91016003709,692.3570282848256,3.0954094523401525,241.198867986304,448.06275084618136,702.5478621225851,171.55841282353168,0.7563860155112572,16.073213379939954,54.00020886041712,49.633035334609694,-326.3246778711407,12.092893600463867
016,50cm,upper_double,10,2,rectifier,oneway,6.0,119.95,1948.9496393425536,705.0001023621201,3.741030675843842,245.50664594544497,455.75242574083126,712.1667612682015,175.9712784117842,0.7944975996191259,17.911466861779157,54.897046464589415,50.51209810136631,-322.7099069989549,11.886587619781494
017,50cm,upper_double,10,3,oneway,oneway,6.0,119.95,2084.7082881683323,732.4894914137749,4.5501914727568,281.11879886058057,446.82050108043745,775.0987800856942,181.53370341851468,0.8270090204047356,20.68545746614824,55.25539244571822,50.850523148730865,-359.3472642305883,11.45720386505127
018,50cm,upper_double,10,3,rectifier,oneway,6.0,119.95,2084.6374069146736,735.2668122579057,4.68504614376581,281.62023273825116,448.9615333758888,776.9200135322446,182.25211793229607,0.8405879853376096,21.122815817783387,55.30952421147337,50.89907166837688,-353.4825271561742,12.308095216751099
019,50cm,lower_double,10,1,oneway,oneway,6.0,119.95,991.052601880599,367.93304238144424,0.0,172.41752786117308,195.51551452027113,335.0204273219316,173.55233781828815,0.4473389058037509,0.4841813263499019,40.99478979893706,36.80332497436844,-102.24125549892449,9.019959449768066
020,50cm,lower_double,10,1,rectifier,oneway,6.0,119.95,990.2502500038388,369.6120389544079,0.0,180.2333262682394,189.3787126861685,337.39445305047104,167.14816769154527,0.45215635104742774,0.48230195008163423,41.32973031395115,37.11076483018576,-103.62453391134102,8.615354299545288
021,50cm,lower_double,10,2,oneway,oneway,6.0,119.95,1187.904577239502,451.496414027778,0.05278841193312945,231.31161845062647,220.13200716521834,419.70812237139666,174.04554048138726,0.5191056205372467,1.8972971344972194,45.064735695947626,40.82455122478882,-127.40774495258688,8.525795698165894
022,50cm,lower_double,10,2,rectifier,oneway,6.0,119.95,1205.8581966562042,457.6914825285765,0.08986846663873152,233.54736192830347,224.0542521336343,424.26157068852723,178.6546491964626,0.5261107910485164,2.399301457415817,45.73487111763329,41.49144449429644,-129.3978685759912,8.862190008163452
023,50cm,lower_double,10,3,oneway,oneway,6.0,119.95,1409.946571005451,512.4359207103438,0.14740762045326317,195.9306197736642,316.3578933162263,505.6394489509502,235.55108784710475,0.5900468369144221,3.1884937171837087,48.32627374309296,41.88243341068166,-139.56948379287383,10.285636901855469
024,50cm,lower_double,10,3,rectifier,oneway,6.0,119.95,1412.0604974523421,512.7198453744743,0.5280566921279942,196.9108518130761,315.28093686927014,505.30145204735385,234.57465202979878,0.6144760962672232,5.748227965569951,49.34270525600861,44.88334461179539,-139.8429423059938,8.473357677459717
